DATE_TIME,NOX
2021-11-28,55.00294542312622
2021-11-29,158.52759218215942
2021-11-30,29.384566644827526
2021-12-01,88.81201334794362
2021-12-02,72.02260061105092
2021-12-03,28.10122901201248
2021-12-04,104.64750027656555
2021-12-05,43.34850823360941
2021-12-06,20.21261664231618
2021-12-07,77.15087076028188
2021-12-08,42.21778247667395
2021-12-09,40.27250862121582
2021-12-10,130.44602601424506
2021-12-11,29.7169653851053
2021-12-12,57.89297111829122
2021-12-13,85.95890402793884
2021-12-14,63.52826093590778
2021-12-15,57.59118250141973
2021-12-16,118.97343579928081
2021-12-17,113.92921765645345
2021-12-18,95.09906140963237
2021-12-19,88.84358859062195
2021-12-20,100.28672083218892
2021-12-21,113.49891344706218
2021-12-22,104.51397331901218
2021-12-23,72.26858743031819
2021-12-24,173.43984580039978
2021-12-25,41.987345933914185
2021-12-26,73.84639998277028
2021-12-27,62.140308698018394
2021-12-28,19.411874773601692
2021-12-29,42.97546664873759
2021-12-30,38.01890849073728
2021-12-31,44.13093761789302
2022-01-01,51.057254354159035
2022-01-02,24.163287381331127
2022-01-03,24.163287381331127
2022-01-04,84.61083777745564
2022-01-05,31.746304035186768
2022-01-06,52.67135012149811
2022-01-07,31.588478843371075
2022-01-08,45.165679017702736
2022-01-09,87.6922372976939
2022-01-10,18.05143480715544
2022-01-11,34.26955382029215
2022-01-12,65.31609169642131
2022-01-13,391.41075388590497
2022-01-14,370.930513381958
2022-01-15,161.52197488149008
2022-01-16,119.38009198506673
2022-01-17,286.09855937957764
2022-01-18,293.615026473999
2022-01-19,76.62729045322963
2022-01-20,281.7498057683309
2022-01-21,252.96692756984544
2022-01-22,148.5102826754252
2022-01-23,58.6525494257609
2022-01-24,83.16392453511556
2022-01-25,102.45919569333394
2022-01-26,111.79440033435822
2022-01-27,72.50455443064372
2022-01-28,168.955313205719
2022-01-29,36.095675806204476
2022-01-30,98.14551742871602
2022-01-31,40.70939082900683
2022-02-01,25.37064991394679
2022-02-02,32.98755852381388
2022-02-03,44.59303018321162
2022-02-04,146.84826942112136
2022-02-05,70.13394125302632
2022-02-06,53.5215874115626
2022-02-07,24.46357085307439
2022-02-08,19.439283192157745
2022-02-09,70.89289561907451
2022-02-10,60.31933319568634
2022-02-11,57.699458380540214
2022-02-12,113.37855855623881
2022-02-13,29.534449974695843
2022-02-14,30.284920771916706
2022-02-15,44.645521744437836
2022-02-16,15.230283280213675
2022-02-17,26.42121223608653
2022-02-18,17.95042488972346
2022-02-19,23.73534603913625
2022-02-20,12.918024977048239
2022-02-21,26.672647953033447
2022-02-22,25.57436255613963
2022-02-23,45.99810016155243
2022-02-24,45.99810016155243
2022-02-25,45.99810016155243
2022-02-26,45.99810016155243
2022-02-27,45.99810016155243
2022-02-28,45.99810016155243
2022-03-01,42.570824921131134
2022-03-02,42.69022881984711
2022-03-03,67.45924989382426
2022-03-04,74.1269669731458
2022-03-05,108.7911126613617
2022-03-06,93.74866183598836
2022-03-07,17.39452091852824
2022-03-08,25.194628953933716
2022-03-09,39.163671016693115
2022-03-10,76.31520779927571
2022-03-11,69.16619567076366
2022-03-12,77.87621744473775
2022-03-13,35.6348127524058
2022-03-14,123.52122044563293
2022-03-15,80.43776790301006
2022-03-16,92.34474635124207
2022-03-17,65.7013292312622
2022-03-18,118.50995794932048
2022-03-19,62.18385903040568
2022-03-20,50.75803327560425
2022-03-21,79.04856252670288
2022-03-22,82.88443636894226
2022-03-23,149.82604134601095
2022-03-24,181.4238831202189
2022-03-25,188.17673015594482
2022-03-26,85.41275421778361
2022-03-27,67.5514547030131
2022-03-28,123.46788756052653
2022-03-29,113.894770860672
2022-03-30,91.67930857340495
2022-03-31,66.34894168376923
2022-04-01,49.82299576203028
2022-04-02,33.17904140551885
2022-04-03,62.63450849056244
2022-04-04,23.830695966879528
2022-04-05,24.645658214886982
2022-04-06,54.858937899271645
2022-04-07,22.476712425549824
2022-04-08,35.68782114982605
2022-04-09,25.430112560590107
2022-04-10,55.66430846850077
2022-04-11,65.49644168217976
2022-04-12,69.3355454603831
2022-04-13,42.06319999694824
2022-04-14,116.24500881541859
2022-04-15,67.16957926750183
2022-04-16,63.306849797566734
2022-04-17,30.72507095336914
2022-04-18,17.946691672007244
2022-04-19,107.99915802997091
2022-04-20,92.3625791867574
2022-04-21,83.77568316459656
2022-04-22,79.65257867177327
2022-04-23,53.51422945658366
2022-04-24,50.92650445302328
2022-04-25,97.59399604797363
2022-04-26,88.46792562802632
2022-04-27,95.8595700263977
2022-04-28,121.35572346051534
2022-04-29,114.53317038218181
2022-04-30,60.473533391952515
2022-05-01,58.11434110005697
2022-05-02,26.81707493464152
2022-05-03,64.63930495580037
2022-05-04,19.33306250969569
2022-05-05,56.243025382359825
2022-05-06,82.22687061627705
2022-05-07,43.08852525552114
2022-05-08,32.29309602578481
2022-05-09,39.962653954823814
2022-05-10,25.63969151178996
2022-05-11,66.7911543448766
2022-05-12,94.382417122523
2022-05-13,14.481791824102402
2022-05-14,33.39853330453237
2022-05-15,56.46595033009847
2022-05-16,56.16281282901764
2022-05-17,40.439795772234596
2022-05-18,50.84377117951711
2022-05-19,28.629396041234333
2022-05-20,31.44360848267873
2022-05-21,20.85382503271103
2022-05-22,35.376457711060844
2022-05-23,21.181666533152264
2022-05-24,18.119021788887355
2022-05-25,22.879095951716106
2022-05-26,13.68390828371048
2022-05-27,33.50482932726542
2022-05-28,68.63819154103597
2022-05-29,66.55672065416972
2022-05-30,52.72835417588552
2022-05-31,31.13046681880951
2022-06-01,120.5411829551061
