Date Time,NO2
2022-01-01 00:00:00+00:00,50.0
2022-01-01 01:00:00+00:00,41.25
2022-01-01 02:00:00+00:00,32.0
2022-01-01 03:00:00+00:00,28.0
2022-01-01 04:00:00+00:00,16.5
2022-01-01 05:00:00+00:00,13.25
2022-01-01 06:00:00+00:00,10.75
2022-01-01 07:00:00+00:00,37.75
2022-01-01 08:00:00+00:00,38.5
2022-01-01 09:00:00+00:00,42.25
2022-01-01 10:00:00+00:00,35.0
2022-01-01 11:00:00+00:00,48.5
2022-01-01 12:00:00+00:00,47.25
2022-01-01 13:00:00+00:00,48.0
2022-01-01 14:00:00+00:00,58.25
2022-01-01 15:00:00+00:00,51.25
2022-01-01 16:00:00+00:00,53.75
2022-01-01 17:00:00+00:00,61.25
2022-01-01 18:00:00+00:00,62.5
2022-01-01 19:00:00+00:00,60.0
2022-01-01 20:00:00+00:00,60.75
2022-01-01 21:00:00+00:00,64.0
2022-01-01 22:00:00+00:00,21.0
2022-01-01 23:00:00+00:00,18.75
2022-01-02 00:00:00+00:00,25.5
2022-01-02 01:00:00+00:00,19.5
2022-01-02 02:00:00+00:00,12.0
2022-01-02 03:00:00+00:00,4.75
2022-01-02 04:00:00+00:00,3.75
2022-01-02 05:00:00+00:00,2.25
2022-01-02 06:00:00+00:00,7.0
2022-01-02 07:00:00+00:00,11.75
2022-01-02 08:00:00+00:00,36.25
2022-01-02 09:00:00+00:00,62.0
2022-01-02 10:00:00+00:00,66.75
2022-01-02 11:00:00+00:00,73.0
2022-01-02 12:00:00+00:00,87.0
2022-01-02 13:00:00+00:00,78.5
2022-01-02 14:00:00+00:00,59.5
2022-01-02 15:00:00+00:00,49.0
2022-01-02 16:00:00+00:00,42.25
2022-01-02 17:00:00+00:00,52.25
2022-01-02 18:00:00+00:00,41.0
2022-01-02 19:00:00+00:00,34.75
2022-01-02 20:00:00+00:00,39.75
2022-01-02 21:00:00+00:00,40.5
2022-01-02 22:00:00+00:00,38.75
2022-01-02 23:00:00+00:00,33.25
2022-01-03 00:00:00+00:00,30.5
2022-01-03 01:00:00+00:00,9.5
2022-01-03 02:00:00+00:00,8.5
2022-01-03 03:00:00+00:00,5.0
2022-01-03 04:00:00+00:00,4.75
2022-01-03 05:00:00+00:00,4.5
2022-01-03 06:00:00+00:00,19.75
2022-01-03 07:00:00+00:00,34.0
2022-01-03 08:00:00+00:00,50.75
2022-01-03 09:00:00+00:00,60.5
2022-01-03 10:00:00+00:00,84.25
2022-01-03 11:00:00+00:00,78.25
2022-01-03 12:00:00+00:00,85.0
2022-01-03 13:00:00+00:00,85.25
2022-01-03 14:00:00+00:00,60.5
2022-01-03 15:00:00+00:00,80.75
2022-01-03 16:00:00+00:00,84.75
2022-01-03 17:00:00+00:00,93.25
2022-01-03 18:00:00+00:00,111.75
2022-01-03 19:00:00+00:00,107.25
2022-01-03 20:00:00+00:00,112.25
2022-01-03 21:00:00+00:00,112.0
2022-01-03 22:00:00+00:00,91.5
2022-01-03 23:00:00+00:00,94.25
2022-01-04 00:00:00+00:00,41.75
2022-01-04 01:00:00+00:00,31.0
2022-01-04 02:00:00+00:00,36.0
2022-01-04 03:00:00+00:00,25.5
2022-01-04 04:00:00+00:00,32.75
2022-01-04 05:00:00+00:00,36.75
2022-01-04 06:00:00+00:00,51.5
2022-01-04 07:00:00+00:00,72.0
2022-01-04 08:00:00+00:00,57.0
2022-01-04 09:00:00+00:00,58.75
2022-01-04 10:00:00+00:00,72.25
2022-01-04 11:00:00+00:00,88.0
2022-01-04 12:00:00+00:00,73.75
2022-01-04 13:00:00+00:00,74.5
2022-01-04 14:00:00+00:00,82.25
2022-01-04 15:00:00+00:00,84.25
2022-01-04 16:00:00+00:00,120.75
2022-01-04 17:00:00+00:00,86.25
2022-01-04 18:00:00+00:00,108.75
2022-01-04 19:00:00+00:00,94.25
